date,value,trading_value,parking_value,return_pct,vix,regime
2021-05-17,25000.0,0,0,0.0,19.72,neutral
2021-05-18,25000.0,0,0,0.0,21.34,volatility
2021-05-19,25000.0,0,0,0.0,22.18,volatility
2021-05-20,25000.0,0,0,0.0,20.67,neutral
2021-05-21,25000.0,0,0,0.0,20.15,neutral
2021-05-24,25000.0,0,0,0.0,18.4,neutral
2021-05-25,25000.0,0,0,0.0,18.84,neutral
2021-05-26,25000.0,0,0,0.0,17.36,neutral
2021-05-27,25000.0,0,0,0.0,16.74,neutral
2021-05-28,25000.0,0,0,0.0,16.76,neutral
2021-06-01,25000.0,0,0,0.0,17.9,neutral
2021-06-02,25000.0,0,0,0.0,17.48,neutral
2021-06-03,25000.0,0,0,0.0,18.04,neutral
2021-06-04,25000.0,0,0,0.0,16.42,neutral
2021-06-07,25000.0,0,0,0.0,16.42,neutral
2021-06-08,25000.0,0,0,0.0,17.07,neutral
2021-06-09,25000.0,0,0,0.0,17.89,neutral
2021-06-10,25000.0,0,0,0.0,16.1,flow
2021-06-11,25000.0,0,0,0.0,15.65,flow
2021-06-14,25000.0,0,0,0.0,16.39,neutral
2021-06-15,25000.0,0,0,0.0,17.02,neutral
2021-06-16,25000.0,0,0,0.0,18.15,neutral
2021-06-17,25000.0,0,0,0.0,17.75,neutral
2021-06-18,25000.0,0,0,0.0,20.7,neutral
2021-06-21,25000.0,0,0,0.0,17.89,neutral
2021-06-22,25000.0,0,0,0.0,16.66,neutral
2021-06-23,25000.0,0,0,0.0,16.32,neutral
2021-06-24,25000.0,0,0,0.0,15.97,neutral
2021-06-25,25000.0,0,0,0.0,15.62,neutral
2021-06-28,25000.0,0,0,0.0,15.76,neutral
2021-06-29,25465.63,18559.9,0,1.8625,16.02,neutral
2021-06-30,26047.54,25408.21,0,2.2851,15.83,neutral
2021-07-01,25510.92,22616.17,0,-2.0602,15.48,neutral
2021-07-02,25698.93,20763.34,0,0.737,15.07,neutral
2021-07-06,26688.9,26511.77,0,3.8522,16.44,neutral
