year,month,return_pct,end_value,compounded,avg_vix,regime
2021,5,1.021,25255.17,25255.17,18.9,neutral
2021,6,0.539,25391.22,25391.22,17.0,neutral
2021,7,47.611,39584.22,37480.17,17.6,neutral
2021,8,39.217,56954.67,52178.82,17.5,neutral
2021,9,8.295,64067.75,56507.3,19.8,volatility
2021,10,53.174,98183.82,86554.27,17.9,neutral
2021,11,35.625,134609.41,117388.9,18.5,volatility
2021,12,2.824,139169.72,120703.85,21.4,flow
2022,1,7.477,149575.51,129728.94,23.2,neutral
2022,2,0.389,150178.45,130233.12,25.7,volatility
2022,3,25.382,189163.35,163288.65,27.0,flow
2022,4,7.045,203298.03,174791.8,24.4,volatility
2022,5,3.912,211025.66,181630.42,29.4,neutral
2022,6,5.65,229810.97,191892.62,28.1,neutral
2022,7,20.663,277296.69,231543.29,24.9,flow
2022,8,31.37,373751.68,304177.9,22.2,volatility
2022,9,-1.598,367150.93,299316.73,27.4,volatility
2022,10,9.875,403219.99,328873.6,30.0,neutral
2022,11,28.65,529113.2,423095.48,23.4,flow
2022,12,3.63,557546.44,438454.48,21.8,neutral
2023,1,16.498,649528.62,510789.25,20.2,neutral
2023,2,6.149,700990.47,542196.98,20.1,neutral
2023,3,0.349,698321.22,544088.62,21.6,neutral
2023,4,8.608,756266.87,590922.21,17.8,flow
2023,5,12.528,854102.72,664952.01,17.6,neutral
2023,6,18.626,1026359.49,788807.61,14.0,neutral
2023,7,6.778,1117514.67,842275.84,13.9,neutral
2023,8,5.575,1190405.99,889235.62,15.9,neutral
2023,9,-2.43,1162796.71,867624.31,15.2,neutral
2023,10,-0.158,1160962.44,866255.67,18.9,neutral
2023,11,9.04,1265825.14,944563.05,14.1,flow
2023,12,6.438,1361025.35,1005371.73,12.7,neutral
2024,1,0.997,1374595.13,1015395.55,13.4,neutral
2024,2,12.869,1585612.94,1146065.61,13.9,neutral
2024,3,7.701,1714321.43,1234321.7,13.8,neutral
2024,4,-1.969,1680645.2,1210018.18,16.1,neutral
2024,5,7.424,1808732.29,1299847.69,13.1,neutral
2024,6,-1.938,1773825.88,1274656.24,12.7,neutral
2024,7,3.907,1841014.52,1324463.24,14.5,volatility
2024,8,10.557,2032656.14,1464289.83,19.3,flow
2024,9,5.916,2147917.45,1550923.33,17.8,neutral
2024,10,2.57,2210626.21,1590781.2,20.0,volatility
2024,11,6.271,2352926.39,1690538.41,16.1,flow
2024,12,-1.359,2348307.03,1667567.82,15.9,neutral
2025,1,4.565,2455502.56,1743688.96,16.7,neutral
2025,2,1.586,2496456.61,1771351.06,17.1,volatility
2025,3,-2.68,2392237.46,1723887.37,21.8,neutral
2025,4,1.668,2432135.38,1752638.49,32.0,neutral
2025,5,3.644,2550636.91,1816505.74,20.5,flow
2025,6,5.039,2687125.47,1908048.26,18.2,neutral
2025,7,5.209,2824238.32,2007444.08,16.3,neutral
2025,8,3.224,2905252.31,2072158.87,15.8,neutral
2025,9,8.423,3131482.1,2246705.33,15.8,neutral
2025,10,9.581,3453293.58,2461955.85,18.1,neutral
2025,11,1.856,3526044.29,2507659.17,19.9,neutral
2025,12,1.214,3547737.33,2538091.9,15.5,neutral
2026,1,5.329,3736813.52,2673359.17,16.0,neutral
2026,2,1.867,3802708.6,2723265.75,19.1,neutral
2026,3,2.842,3909272.06,2800673.82,25.6,neutral
2026,4,9.459,4293943.76,3065590.96,19.8,flow
2026,5,2.663,4418353.49,3147234.42,17.7,neutral
